PhiDot;Phi;Temp;kf
1.5;0.38;700;296.38
1.5;0.4;700;296.38
1.5;0.42;700;296.85
1.5;0.44;700;297.8
1.5;0.46;700;298.27
1.5;0.48;700;298.27
1.5;0.5;700;298.74
1.5;0.52;700;298.74
1.5;0.54;700;299.21
1.5;0.56;700;299.21
1.5;0.58;700;299.23
1.5;0.6;700;299.68
1.5;0.62;700;299.68
1.5;0.64;700;300.16
1.5;0.66;700;300.16
1.5;0.68;700;301.98
1.5;0.7;700;302.04
90;0.04;700;354.81
90;0.06;700;381.71
90;0.08;700;402.03
90;0.1;700;418.06
90;0.12;700;431.73
90;0.14;700;443.88
90;0.16;700;453.41
90;0.18;700;462.03
90;0.2;700;468.48
90;0.22;700;474.3
90;0.24;700;479.31
90;0.26;700;483.74
90;0.28;700;487.55
90;0.3;700;491.06
90;0.32;700;494.35
90;0.34;700;496.96
90;0.36;700;499.79
90;0.38;700;501.85
90;0.4;700;504.19
90;0.42;700;505.59
90;0.44;700;506.87
90;0.46;700;508.28
90;0.48;700;510.17
90;0.5;700;511.12
90;0.52;700;512.53
90;0.54;700;513.48
90;0.56;700;514.42
90;0.58;700;514.89
90;0.6;700;515.36
90;0.62;700;515.85
90;0.64;700;516.78
90;0.66;700;516.78
90;0.68;700;516.78
90;0.7;700;516.78
1.6;0.05;800;206.25
1.6;0.05;900;139.967
1.6;0.05;1000;106.579
1.6;0.05;1100;72.0396
1.6;0.075;800;221.711
1.6;0.075;900;150
1.6;0.075;1000;115.461
1.6;0.075;1100;79.6054
1.6;0.1;800;232.073
1.6;0.1;900;161.02
1.6;0.1;1000;120.559
1.6;0.1;1100;84.3751
1.6;0.125;800;239.145
1.6;0.125;900;166.448
1.6;0.125;1000;124.178
1.6;0.125;1100;88.8159
1.6;0.15;800;243.421
1.6;0.15;900;172.204
1.6;0.15;1000;126.645
1.6;0.15;1100;91.7765
1.6;0.175;800;249.178
1.6;0.175;900;176.316
1.6;0.175;1000;129.277
1.6;0.175;1100;94.4081
1.6;0.2;800;251.974
1.6;0.2;900;179.277
1.6;0.2;1000;130.099
1.6;0.2;1100;96.5462
1.6;0.225;800;254.606
1.6;0.225;900;182.566
1.6;0.225;1000;130.921
1.6;0.225;1100;96.5462
1.6;0.25;800;258.06
1.6;0.25;900;184.704
1.6;0.25;1000;132.895
1.6;0.25;1100;96.5462
1.6;0.275;800;260.691
1.6;0.275;900;186.185
1.6;0.275;1000;132.895
1.6;0.275;1100;96.5462
1.6;0.3;800;261.514
1.6;0.3;900;187.829
1.6;0.3;1000;131.415
1.6;0.3;1100;98.0265
1.6;0.325;800;263.981
1.6;0.325;900;187.829
1.6;0.325;1000;130.428
1.6;0.325;1100;98.0265
1.6;0.35;800;266.119
1.6;0.35;900;188.816
1.6;0.35;1000;130.428
1.6;0.35;1100;96.5462
1.6;0.375;800;266.119
1.6;0.375;900;188.816
1.6;0.375;1000;130.428
1.6;0.375;1100;94.4081
1.6;0.4;800;266.119
1.6;0.4;900;188.816
1.6;0.4;1000;128.948
1.6;0.4;1100;94.4081
1.6;0.425;800;266.119
1.6;0.425;900;188.816
1.6;0.425;1000;127.467
1.6;0.425;1100;95.0659
1.6;0.45;800;266.119
1.6;0.45;900;188.816
1.6;0.45;1000;126.645
1.6;0.45;1100;93.4212
1.6;0.475;800;266.119
1.6;0.475;900;188.816
